# Modern Legacy BlockId Metadata
{Name:'minecraft:oak_log',Properties:{axis:'x'}} {Name:'minecraft:log',Properties:{axis:'x',variant:'oak'}} 17 4
{Name:'minecraft:spruce_log',Properties:{axis:'x'}} {Name:'minecraft:log',Properties:{axis:'x',variant:'spruce'}} 17 5
{Name:'minecraft:birch_log',Properties:{axis:'x'}} {Name:'minecraft:log',Properties:{axis:'x',variant:'birch'}} 17 6
{Name:'minecraft:jungle_log',Properties:{axis:'x'}} {Name:'minecraft:log',Properties:{axis:'x',variant:'jungle'}} 17 7
{Name:'minecraft:oak_log',Properties:{axis:'z'}} {Name:'minecraft:log',Properties:{axis:'z',variant:'oak'}} 17 8
{Name:'minecraft:spruce_log',Properties:{axis:'z'}} {Name:'minecraft:log',Properties:{axis:'z',variant:'spruce'}} 17 9
{Name:'minecraft:birch_log',Properties:{axis:'z'}} {Name:'minecraft:log',Properties:{axis:'z',variant:'birch'}} 17 10
{Name:'minecraft:jungle_log',Properties:{axis:'z'}} {Name:'minecraft:log',Properties:{axis:'z',variant:'jungle'}} 17 11
{Name:'minecraft:oak_wood'} {Name:'minecraft:log',Properties:{axis:'none',variant:'oak'}} 17 12
{Name:'minecraft:spruce_wood'} {Name:'minecraft:log',Properties:{axis:'none',variant:'spruce'}} 17 13
{Name:'minecraft:birch_wood'} {Name:'minecraft:log',Properties:{axis:'none',variant:'birch'}} 17 14
{Name:'minecraft:jungle_wood'} {Name:'minecraft:log',Properties:{axis:'none',variant:'jungle'}} 17 15
{Name:'minecraft:oak_leaves'} {Name:'minecraft:leaves',Properties:{check_decay:'false',decayable:'true',variant:'oak'}} 18 0
{Name:'minecraft:spruce_leaves'} {Name:'minecraft:leaves',Properties:{check_decay:'false',decayable:'true',variant:'spruce'}} 18 1
{Name:'minecraft:birch_leaves'} {Name:'minecraft:leaves',Properties:{check_decay:'false',decayable:'true',variant:'birch'}} 18 2
{Name:'minecraft:jungle_leaves'} {Name:'minecraft:leaves',Properties:{check_decay:'false',decayable:'true',variant:'jungle'}} 18 3
{Name:'minecraft:sponge'} {Name:'minecraft:sponge',Properties:{wet:'false'}} 19 0
{Name:'minecraft:wet_sponge'} {Name:'minecraft:sponge',Properties:{wet:'true'}} 19 1
{Name:'minecraft:glass'} {Name:'minecraft:glass'} 20 0
{Name:'minecraft:lapis_ore'} {Name:'minecraft:lapis_ore'} 21 0
{Name:'minecraft:lapis_block'} {Name:'minecraft:lapis_block'} 22 0
{Name:'minecraft:dispenser',Properties:{facing:'down',triggered:'false'}} {Name:'minecraft:dispenser',Properties:{facing:'down',triggered:'false'}} 23 0
{Name:'minecraft:dispenser',Properties:{facing:'up',triggered:'false'}} {Name:'minecraft:dispenser',Properties:{facing:'up',triggered:'false'}} 23 1
{Name:'minecraft:dispenser',Properties:{facing:'north',triggered:'false'}} {Name:'minecraft:dispenser',Properties:{facing:'north',triggered:'false'}} 23 2
{Name:'minecraft:dispenser',Properties:{facing:'south',triggered:'false'}} {Name:'minecraft:dispenser',Properties:{facing:'south',triggered:'false'}} 23 3
{Name:'minecraft:dispenser',Properties:{facing:'west',triggered:'false'}} {Name:'minecraft:dispenser',Properties:{facing:'west',triggered:'false'}} 23 4
{Name:'minecraft:dispenser',Properties:{facing:'east',triggered:'false'}} {Name:'minecraft:dispenser',Properties:{facing:'east',triggered:'false'}} 23 5
{Name:'minecraft:dispenser',Properties:{facing:'down',triggered:'true'}} {Name:'minecraft:dispenser',Properties:{facing:'down',triggered:'true'}} 23 8
{Name:'minecraft:dispenser',Properties:{facing:'up',triggered:'true'}} {Name:'minecraft:dispenser',Properties:{facing:'up',triggered:'true'}} 23 9
{Name:'minecraft:dispenser',Properties:{facing:'north',triggered:'true'}} {Name:'minecraft:dispenser',Properties:{facing:'north',triggered:'true'}} 23 10
{Name:'minecraft:dispenser',Properties:{facing:'south',triggered:'true'}} {Name:'minecraft:dispenser',Properties:{facing:'south',triggered:'true'}} 23 11
{Name:'minecraft:dispenser',Properties:{facing:'west',triggered:'true'}} {Name:'minecraft:dispenser',Properties:{facing:'west',triggered:'true'}} 23 12
{Name:'minecraft:dispenser',Properties:{facing:'east',triggered:'true'}} {Name:'minecraft:dispenser',Properties:{facing:'east',triggered:'true'}} 23 13
{Name:'minecraft:sandstone'} {Name:'minecraft:sandstone',Properties:{type:'sandstone'}} 24 0
{Name:'minecraft:chiseled_sandstone'} {Name:'minecraft:sandstone',Properties:{type:'chiseled_sandstone'}} 24 1
{Name:'minecraft:cut_sandstone'} {Name:'minecraft:sandstone',Properties:{type:'smooth_sandstone'}} 24 2
{Name:'minecraft:note_block'} {Name:'minecraft:noteblock'} 25 0
{Name:'minecraft:red_bed',Properties:{facing:'south',occupied:'false',part:'foot'}} {Name:'minecraft:bed',Properties:{facing:'south',occupied:'false',part:'foot'}} 26 0
{Name:'minecraft:red_bed',Properties:{facing:'west',occupied:'false',part:'foot'}} {Name:'minecraft:bed',Properties:{facing:'west',occupied:'false',part:'foot'}} 26 1
{Name:'minecraft:red_bed',Properties:{facing:'north',occupied:'false',part:'foot'}} {Name:'minecraft:bed',Properties:{facing:'north',occupied:'false',part:'foot'}} 26 2
{Name:'minecraft:red_bed',Properties:{facing:'east',occupied:'false',part:'foot'}} {Name:'minecraft:bed',Properties:{facing:'east',occupied:'false',part:'foot'}} 26 3
{Name:'minecraft:red_bed',Properties:{facing:'south',occupied:'false',part:'head'}} {Name:'minecraft:bed',Properties:{facing:'south',occupied:'false',part:'head'}} 26 8
{Name:'minecraft:red_bed',Properties:{facing:'west',occupied:'false',part:'head'}} {Name:'minecraft:bed',Properties:{facing:'west',occupied:'false',part:'head'}} 26 9
{Name:'minecraft:red_bed',Properties:{facing:'north',occupied:'false',part:'head'}} {Name:'minecraft:bed',Properties:{facing:'north',occupied:'false',part:'head'}} 26 10
{Name:'minecraft:red_bed',Properties:{facing:'east',occupied:'false',part:'head'}} {Name:'minecraft:bed',Properties:{facing:'east',occupied:'false',part:'head'}} 26 11
{Name:'minecraft:red_bed',Properties:{facing:'south',occupied:'true',part:'head'}} {Name:'minecraft:bed',Properties:{facing:'south',occupied:'true',part:'head'}} 26 12
{Name:'minecraft:red_bed',Properties:{facing:'west',occupied:'true',part:'head'}} {Name:'minecraft:bed',Properties:{facing:'west',occupied:'true',part:'head'}} 26 13
{Name:'minecraft:red_bed',Properties:{facing:'north',occupied:'true',part:'head'}} {Name:'minecraft:bed',Properties:{facing:'north',occupied:'true',part:'head'}} 26 14
{Name:'minecraft:red_bed',Properties:{facing:'east',occupied:'true',part:'head'}} {Name:'minecraft:bed',Properties:{facing:'east',occupied:'true',part:'head'}} 26 15
{Name:'minecraft:powered_rail',Properties:{powered:'false',shape:'north_south'}} {Name:'minecraft:golden_rail',Properties:{powered:'false',shape:'north_south'}} 27 0
{Name:'minecraft:powered_rail',Properties:{powered:'false',shape:'east_west'}} {Name:'minecraft:golden_rail',Properties:{powered:'false',shape:'east_west'}} 27 1
{Name:'minecraft:powered_rail',Properties:{powered:'false',shape:'ascending_east'}} {Name:'minecraft:golden_rail',Properties:{powered:'false',shape:'ascending_east'}} 27 2
{Name:'minecraft:powered_rail',Properties:{powered:'false',shape:'ascending_west'}} {Name:'minecraft:golden_rail',Properties:{powered:'false',shape:'ascending_west'}} 27 3
{Name:'minecraft:powered_rail',Properties:{powered:'false',shape:'ascending_north'}} {Name:'minecraft:golden_rail',Properties:{powered:'false',shape:'ascending_north'}} 27 4
{Name:'minecraft:powered_rail',Properties:{powered:'false',shape:'ascending_south'}} {Name:'minecraft:golden_rail',Properties:{powered:'false',shape:'ascending_south'}} 27 5
{Name:'minecraft:powered_rail',Properties:{powered:'true',shape:'north_south'}} {Name:'minecraft:golden_rail',Properties:{powered:'true',shape:'north_south'}} 27 8
{Name:'minecraft:powered_rail',Properties:{powered:'true',shape:'east_west'}} {Name:'minecraft:golden_rail',Properties:{powered:'true',shape:'east_west'}} 27 9
{Name:'minecraft:powered_rail',Properties:{powered:'true',shape:'ascending_east'}} {Name:'minecraft:golden_rail',Properties:{powered:'true',shape:'ascending_east'}} 27 10
{Name:'minecraft:powered_rail',Properties:{powered:'true',shape:'ascending_west'}} {Name:'minecraft:golden_rail',Properties:{powered:'true',shape:'ascending_west'}} 27 11
{Name:'minecraft:powered_rail',Properties:{powered:'true',shape:'ascending_north'}} {Name:'minecraft:golden_rail',Properties:{powered:'true',shape:'ascending_north'}} 27 12
{Name:'minecraft:powered_rail',Properties:{powered:'true',shape:'ascending_south'}} {Name:'minecraft:golden_rail',Properties:{powered:'true',shape:'ascending_south'}} 27 13
{Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'north_south'}} {Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'north_south'}} 28 0
{Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'east_west'}} {Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'east_west'}} 28 1
{Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'ascending_east'}} {Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'ascending_east'}} 28 2
{Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'ascending_west'}} {Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'ascending_west'}} 28 3
{Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'ascending_north'}} {Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'ascending_north'}} 28 4
{Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'ascending_south'}} {Name:'minecraft:detector_rail',Properties:{powered:'false',shape:'ascending_south'}} 28 5
{Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'north_south'}} {Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'north_south'}} 28 8
{Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'east_west'}} {Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'east_west'}} 28 9
{Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'ascending_east'}} {Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'ascending_east'}} 28 10
{Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'ascending_west'}} {Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'ascending_west'}} 28 11
{Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'ascending_north'}} {Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'ascending_north'}} 28 12
{Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'ascending_south'}} {Name:'minecraft:detector_rail',Properties:{powered:'true',shape:'ascending_south'}} 28 13
{Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'down'}} {Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'down'}} 29 0
{Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'up'}} {Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'up'}} 29 1
{Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'north'}} {Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'north'}} 29 2
{Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'south'}} {Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'south'}} 29 3
{Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'west'}} {Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'west'}} 29 4
{Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'east'}} {Name:'minecraft:sticky_piston',Properties:{extended:'false',facing:'east'}} 29 5
{Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'down'}} {Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'down'}} 29 8
{Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'up'}} {Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'up'}} 29 9
{Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'north'}} {Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'north'}} 29 10
{Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'south'}} {Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'south'}} 29 11
{Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'west'}} {Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'west'}} 29 12
{Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'east'}} {Name:'minecraft:sticky_piston',Properties:{extended:'true',facing:'east'}} 29 13
{Name:'minecraft:cobweb'} {Name:'minecraft:web'} 30 0
{Name:'minecraft:grass'} {Name:'minecraft:tallgrass',Properties:{type:'tall_grass'}} 31 1
{Name:'minecraft:fern'} {Name:'minecraft:tallgrass',Properties:{type:'fern'}} 31 2
{Name:'minecraft:dead_bush'} {Name:'minecraft:deadbush'} 32 0
{Name:'minecraft:piston',Properties:{extended:'false',facing:'down'}} {Name:'minecraft:piston',Properties:{extended:'false',facing:'down'}} 33 0
{Name:'minecraft:piston',Properties:{extended:'false',facing:'up'}} {Name:'minecraft:piston',Properties:{extended:'false',facing:'up'}} 33 1
{Name:'minecraft:piston',Properties:{extended:'false',facing:'north'}} {Name:'minecraft:piston',Properties:{extended:'false',facing:'north'}} 33 2
{Name:'minecraft:piston',Properties:{extended:'false',facing:'south'}} {Name:'minecraft:piston',Properties:{extended:'false',facing:'south'}} 33 3
{Name:'minecraft:piston',Properties:{extended:'false',facing:'west'}} {Name:'minecraft:piston',Properties:{extended:'false',facing:'west'}} 33 4
{Name:'minecraft:piston',Properties:{extended:'false',facing:'east'}} {Name:'minecraft:piston',Properties:{extended:'false',facing:'east'}} 33 5
{Name:'minecraft:piston',Properties:{extended:'true',facing:'down'}} {Name:'minecraft:piston',Properties:{extended:'true',facing:'down'}} 33 8
{Name:'minecraft:piston',Properties:{extended:'true',facing:'up'}} {Name:'minecraft:piston',Properties:{extended:'true',facing:'up'}} 33 9
{Name:'minecraft:piston',Properties:{extended:'true',facing:'north'}} {Name:'minecraft:piston',Properties:{extended:'true',facing:'north'}} 33 10
{Name:'minecraft:piston',Properties:{extended:'true',facing:'south'}} {Name:'minecraft:piston',Properties:{extended:'true',facing:'south'}} 33 11
{Name:'minecraft:piston',Properties:{extended:'true',facing:'west'}} {Name:'minecraft:piston',Properties:{extended:'true',facing:'west'}} 33 12
{Name:'minecraft:piston',Properties:{extended:'true',facing:'east'}} {Name:'minecraft:piston',Properties:{extended:'true',facing:'east'}} 33 13
{Name:'minecraft:piston_head',Properties:{facing:'down',type:'normal'}} {Name:'minecraft:piston_head',Properties:{facing:'down',short:'false',type:'normal'}} 34 0
{Name:'minecraft:piston_head',Properties:{facing:'up',type:'normal'}} {Name:'minecraft:piston_head',Properties:{facing:'up',short:'false',type:'normal'}} 34 1
{Name:'minecraft:piston_head',Properties:{facing:'north',type:'normal'}} {Name:'minecraft:piston_head',Properties:{facing:'north',short:'false',type:'normal'}} 34 2
{Name:'minecraft:piston_head',Properties:{facing:'south',type:'normal'}} {Name:'minecraft:piston_head',Properties:{facing:'south',short:'false',type:'normal'}} 34 3
{Name:'minecraft:piston_head',Properties:{facing:'west',type:'normal'}} {Name:'minecraft:piston_head',Properties:{facing:'west',short:'false',type:'normal'}} 34 4
{Name:'minecraft:piston_head',Properties:{facing:'east',type:'normal'}} {Name:'minecraft:piston_head',Properties:{facing:'east',short:'false',type:'normal'}} 34 5
{Name:'minecraft:piston_head',Properties:{facing:'down',type:'sticky'}} {Name:'minecraft:piston_head',Properties:{facing:'down',short:'false',type:'sticky'}} 34 8
{Name:'minecraft:piston_head',Properties:{facing:'up',type:'sticky'}} {Name:'minecraft:piston_head',Properties:{facing:'up',short:'false',type:'sticky'}} 34 9
{Name:'minecraft:piston_head',Properties:{facing:'north',type:'sticky'}} {Name:'minecraft:piston_head',Properties:{facing:'north',short:'false',type:'sticky'}} 34 10
{Name:'minecraft:piston_head',Properties:{facing:'south',type:'sticky'}} {Name:'minecraft:piston_head',Properties:{facing:'south',short:'false',type:'sticky'}} 34 11
{Name:'minecraft:piston_head',Properties:{facing:'west',type:'sticky'}} {Name:'minecraft:piston_head',Properties:{facing:'west',short:'false',type:'sticky'}} 34 12
{Name:'minecraft:piston_head',Properties:{facing:'east',type:'sticky'}} {Name:'minecraft:piston_head',Properties:{facing:'east',short:'false',type:'sticky'}} 34 13
{Name:'minecraft:white_wool'} {Name:'minecraft:wool',Properties:{color:'white'}} 35 0
{Name:'minecraft:orange_wool'} {Name:'minecraft:wool',Properties:{color:'orange'}} 35 1
{Name:'minecraft:magenta_wool'} {Name:'minecraft:wool',Properties:{color:'magenta'}} 35 2
{Name:'minecraft:light_blue_wool'} {Name:'minecraft:wool',Properties:{color:'light_blue'}} 35 3
{Name:'minecraft:yellow_wool'} {Name:'minecraft:wool',Properties:{color:'yellow'}} 35 4
{Name:'minecraft:lime_wool'} {Name:'minecraft:wool',Properties:{color:'lime'}} 35 5
{Name:'minecraft:pink_wool'} {Name:'minecraft:wool',Properties:{color:'pink'}} 35 6
{Name:'minecraft:gray_wool'} {Name:'minecraft:wool',Properties:{color:'gray'}} 35 7
{Name:'minecraft:light_gray_wool'} {Name:'minecraft:wool',Properties:{color:'silver'}} 35 8
{Name:'minecraft:cyan_wool'} {Name:'minecraft:wool',Properties:{color:'cyan'}} 35 9
{Name:'minecraft:purple_wool'} {Name:'minecraft:wool',Properties:{color:'purple'}} 35 10
{Name:'minecraft:blue_wool'} {Name:'minecraft:wool',Properties:{color:'blue'}} 35 11
{Name:'minecraft:brown_wool'} {Name:'minecraft:wool',Properties:{color:'brown'}} 35 12
{Name:'minecraft:green_wool'} {Name:'minecraft:wool',Properties:{color:'green'}} 35 13
{Name:'minecraft:red_wool'} {Name:'minecraft:wool',Properties:{color:'red'}} 35 14
{Name:'minecraft:black_wool'} {Name:'minecraft:wool',Properties:{color:'black'}} 35 15
{Name:'minecraft:moving_piston',Properties:{facing:'down',type:'normal'}} {Name:'minecraft:piston_extension',Properties:{facing:'down',type:'normal'}} 36 0
{Name:'minecraft:moving_piston',Properties:{facing:'up',type:'normal'}} {Name:'minecraft:piston_extension',Properties:{facing:'up',type:'normal'}} 36 1
{Name:'minecraft:moving_piston',Properties:{facing:'north',type:'normal'}} {Name:'minecraft:piston_extension',Properties:{facing:'north',type:'normal'}} 36 2
{Name:'minecraft:moving_piston',Properties:{facing:'south',type:'normal'}} {Name:'minecraft:piston_extension',Properties:{facing:'south',type:'normal'}} 36 3
{Name:'minecraft:moving_piston',Properties:{facing:'west',type:'normal'}} {Name:'minecraft:piston_extension',Properties:{facing:'west',type:'normal'}} 36 4
{Name:'minecraft:moving_piston',Properties:{facing:'east',type:'normal'}} {Name:'minecraft:piston_extension',Properties:{facing:'east',type:'normal'}} 36 5
{Name:'minecraft:moving_piston',Properties:{facing:'down',type:'sticky'}} {Name:'minecraft:piston_extension',Properties:{facing:'down',type:'sticky'}} 36 8
{Name:'minecraft:moving_piston',Properties:{facing:'up',type:'sticky'}} {Name:'minecraft:piston_extension',Properties:{facing:'up',type:'sticky'}} 36 9
{Name:'minecraft:moving_piston',Properties:{facing:'north',type:'sticky'}} {Name:'minecraft:piston_extension',Properties:{facing:'north',type:'sticky'}} 36 10
{Name:'minecraft:moving_piston',Properties:{facing:'south',type:'sticky'}} {Name:'minecraft:piston_extension',Properties:{facing:'south',type:'sticky'}} 36 11
{Name:'minecraft:moving_piston',Properties:{facing:'west',type:'sticky'}} {Name:'minecraft:piston_extension',Properties:{facing:'west',type:'sticky'}} 36 12
{Name:'minecraft:moving_piston',Properties:{facing:'east',type:'sticky'}} {Name:'minecraft:piston_extension',Properties:{facing:'east',type:'sticky'}} 36 13
{Name:'minecraft:dandelion'} {Name:'minecraft:yellow_flower',Properties:{type:'dandelion'}} 37 0
